Croco diel,Identified Proteins (1170),Accession Number,Molecular Weight,Protein Grouping Ambiguity,151222_WH8501diel_T1_2ug,151222_WH8501diel_T2_2ug,151222_WH8501diel_T3_2ug,151222_WH8501diel_T4_2ug,151222_WH8501diel_T5_2ug,151222_WH8501diel_T6_2ug,151222_WH8501diel_T7_2ug,151222_WH8501diel_T8_2ug,151222_WH8501diel_T9_2ug,151222_WH8501diel_T10_2ug,151222_WH8501diel_T11_2ug,151222_WH8501diel_T12_2ug,151222_WH8501diel_T13_2ug,151222_WH8501diel_T14_2ug,151222_WH8501diel_T15_2ug,151222_WH8501diel_T16_2ug
556,ZP_00515687 CwatDRAFT_4388 Alpha-mannosidase [Crocosphaera watsonii WH 8501],638430955,119 kDa,,0.96415,2.8409,3.0044,2.0224,1.8934,2.6963,2.8009,4.6424,3.2731,1.1023,2.6573,3.901,2.2827,2.0944,1.9043,1.0008
557,"ZP_00518183 CwatDRAFT_2028 Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent [Crocosphaera watsonii WH 8501]",638433468,58 kDa,,0,0,0,1.0112,0,0,7.469,11.142,7.6372,9.9209,19.487,1.3003,1.1414,1.0472,0,0
558,ZP_00518760 CwatDRAFT_1082 NAD-dependent epimerase/dehydratase [Crocosphaera watsonii WH 8501],638434048,37 kDa,,15.426,15.151,6.0087,10.112,4.7335,4.4939,8.4026,5.5709,6.5462,3.307,7.9719,2.6006,7.9896,7.3304,6.6649,3.0024
559,"ZP_00516809 CwatDRAFT_2496 Ycf66, N-terminal [Crocosphaera watsonii WH 8501]",638432084,33 kDa,,10.606,11.363,7.0102,9.1008,8.5202,8.089,9.3363,9.2849,8.7282,9.9209,8.8577,2.6006,7.9896,6.2832,4.7607,8.0064
560,ZP_00514564 CwatDRAFT_5800 hypothetical protein [Crocosphaera watsonii WH 8501],638429825,36 kDa,,14.462,17.992,17.025,17.19,14.2,12.583,14.938,17.641,10.91,14.33,7.9719,18.204,14.838,15.708,17.138,15.012
561,ZP_00515074 CwatDRAFT_4984 Alanine--glyoxylate transaminase [Crocosphaera watsonii WH 8501],638430339,41 kDa,,21.211,21.78,10.015,5.056,0,0,0,5.5709,9.8193,7.7162,0,6.5016,17.121,3.1416,1.9043,4.0032
562,ZP_00515578 CwatDRAFT_4455 PhoH-like protein [Crocosphaera watsonii WH 8501],638430845,36 kDa,,0.96415,0,1.0015,3.0336,1.8934,2.6963,0,0.92849,0,0,3.5431,0,0,0,0,0
563,ZP_00517366 CwatDRAFT_2635 Hydrophobe/amphiphile efflux-1 HAE1 [Crocosphaera watsonii WH 8501],638432646,120 kDa,,2.8924,2.8409,5.0073,7.0784,8.5202,10.785,7.469,2.7855,0,0,2.6573,0,0,2.0944,2.8564,1.0008
564,ZP_00515270 CwatDRAFT_4738 Protein of unknown function DUF490 [Crocosphaera watsonii WH 8501],638430594-DECOY,?,,0,0,0,0,0.94669,1.7976,0,0,0,0,0,0,0,0,0.95213,0
565,"ZP_00514091 CwatDRAFT_6332 GAF:ATP-binding region, ATPase-like:Histidine kinase A, N-terminal [Crocosphaera watsonii WH 8501]",638429348,80 kDa,,4.8207,3.7878,5.0073,6.0672,1.8934,9.8866,8.4026,5.5709,5.4551,5.5116,16.83,0,1.1414,3.1416,5.7128,4.0032
566,ZP_00515768 CwatDRAFT_4300 MotA/TolQ/ExbB proton channel [Crocosphaera watsonii WH 8501],638430980,25 kDa,,11.57,14.204,14.02,16.179,11.36,11.684,9.3363,10.213,5.4551,4.4093,7.0862,3.901,6.8482,5.236,9.5213,10.008
567,"ZP_00514371 CwatDRAFT_5896 Helicase, C-terminal:DEAD/DEAH box helicase, N-terminal [Crocosphaera watsonii WH 8501]",638429631,109 kDa,,6.749,3.7878,1.0015,1.0112,2.8401,3.5951,3.7345,4.6424,2.1821,2.2046,9.7435,0,2.2827,3.1416,0.95213,3.0024
568,ZP_00517272 CwatDRAFT_2982 Cell envelope-related transcriptional attenuator [Crocosphaera watsonii WH 8501],638432545,54 kDa,,12.534,10.417,6.0087,0,0.94669,0,0,0,0,0,0,0,1.1414,4.1888,6.6649,10.008
569,ZP_00515748 CwatDRAFT_4276 Protein of unknown function DUF336 [Crocosphaera watsonii WH 8501],638431016,13 kDa,,8.6773,7.5756,9.0131,9.1008,15.147,8.089,8.4026,8.3564,10.91,22.046,8.8577,18.204,20.545,14.661,9.5213,4.0032
570,ZP_00518822 CwatDRAFT_0566 Septum formation inhibitor MinC [Crocosphaera watsonii WH 8501],638434113,30 kDa,,11.57,8.5226,8.0116,7.0784,8.5202,9.8866,11.204,12.999,16.365,9.9209,15.058,6.5016,12.555,10.472,8.5692,11.009
571,ZP_00517318 CwatDRAFT_2922 Protein phosphatase 2C-like [Crocosphaera watsonii WH 8501],638432604,27 kDa,,13.498,10.417,17.025,11.123,16.094,16.178,13.071,14.856,16.365,15.432,17.715,19.505,12.555,14.661,19.043,15.012
572,ZP_00516100 CwatDRAFT_3769 UDP-N-acetylmuramyl-tripeptide synthetase [Crocosphaera watsonii WH 8501],638431375,55 kDa,,16.391,10.417,7.0102,8.0896,12.307,8.9878,10.27,6.4994,7.6372,4.4093,4.4289,0,7.9896,12.566,8.5692,11.009
573,"ZP_00518060 CwatDRAFT_1623 Pyridoxal-5'-phosphate-dependent enzyme, beta subunit [Crocosphaera watsonii WH 8501]",638433347,35 kDa,,12.534,7.5756,7.0102,7.0784,4.7335,11.684,8.4026,3.7139,10.91,9.9209,31.002,5.2013,12.555,16.755,18.09,4.0032
574,ZP_00514803 CwatDRAFT_5672 2OG-Fe(II) oxygenase superfamily [Crocosphaera watsonii WH 8501],638430065,25 kDa,,19.283,18.939,14.02,10.112,5.6801,8.9878,4.6681,9.2849,10.91,8.8186,12.401,3.901,4.5655,3.1416,3.8085,4.0032
575,ZP_00517046 CwatDRAFT_2412 Pentapeptide repeat [Crocosphaera watsonii WH 8501],638432327-DECOY,?,,0.96415,0,0,0,0,0,1.8673,0,0,0,0,0,0,1.0472,0,1.0008
576,ZP_00516863 CwatDRAFT_3287 MutS 2 protein [Crocosphaera watsonii WH 8501],638432153-DECOY,?,,0,0,0,0,0,0,0,0,2.1821,2.2046,0,0,0,0,0,0
577,"ZP_00516952 CwatDRAFT_2814 Excinuclease ABC, A subunit [Crocosphaera watsonii WH 8501]",638432235,105 kDa,,3.8566,2.8409,2.0029,2.0224,1.8934,0.89878,1.8673,0.92849,0,1.1023,4.4289,0,1.1414,1.0472,1.9043,0
578,"ZP_00515890 CwatDRAFT_4119 UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate-D-alanyl-D-alanyl ligase [Crocosphaera watsonii WH 8501]",638431108,50 kDa,,19.283,18.939,15.022,15.168,15.147,13.482,11.204,11.142,7.6372,11.023,10.629,2.6006,15.979,13.614,15.234,17.014
579,"ZP_00517303 CwatDRAFT_2424 Transposase, IS4 [Crocosphaera watsonii WH 8501]",638432588,52 kDa,1,0,0,0,0,0,0,1.8673,0,0,1.1023,1.7715,0,0,0,0.95213,2.0016
580,ZP_00516622 CwatDRAFT_3443 Protein of unknown function DUF477 [Crocosphaera watsonii WH 8501],638431889,25 kDa,,26.996,19.886,21.03,28.314,17.04,21.571,15.872,12.999,12.001,9.9209,7.0862,16.904,17.121,18.85,21.899,21.017
581,ZP_00517092 CwatDRAFT_2770 UDP-N-acetylmuramoylalanine-D-glutamate ligase [Crocosphaera watsonii WH 8501],638432371,50 kDa,,6.749,0.94696,2.0029,5.056,1.8934,2.6963,2.8009,1.857,1.091,3.307,3.5431,0,4.5655,2.0944,2.8564,4.0032
582,ZP_00515507 CwatDRAFT_4581 FAD-dependent pyridine nucleotide-disulphide oxidoreductase [Crocosphaera watsonii WH 8501],638430826,50 kDa,,5.7849,5.6817,5.0073,11.123,17.04,18.874,13.071,9.2849,10.91,4.4093,8.8577,2.6006,3.4241,5.236,5.7128,4.0032
583,ZP_00518454 CwatDRAFT_0608 hypothetical protein [Crocosphaera watsonii WH 8501],638433739,22 kDa,,19.283,16.098,13.019,15.168,18.934,17.976,14.004,14.856,12.001,17.637,14.172,11.703,12.555,15.708,19.995,19.015
584,ZP_00517334 CwatDRAFT_2579 Protein phosphatase 2C-like [Crocosphaera watsonii WH 8501],638432617,89 kDa,,1.9283,1.8939,1.0015,0,0,1.7976,1.8673,1.857,0,1.1023,1.7715,0,1.1414,3.1416,1.9043,2.0016
585,ZP_00519341 CwatDRAFT_0345 hypothetical protein [Crocosphaera watsonii WH 8501],638434630,15 kDa,,10.606,11.363,14.02,12.134,9.4669,8.089,11.204,16.713,12.001,15.432,0.88577,10.403,11.414,7.3304,10.473,9.0072
586,"ZP_00514536 CwatDRAFT_5445 FAD linked oxidase, C-terminal:FAD linked oxidase, N-terminal [Crocosphaera watsonii WH 8501]",638429797,115 kDa,,0,0,0,0,0,0,0,0,1.091,0,1.7715,0,0,0,0,0
587,ZP_00514129 CwatDRAFT_6357 Non-ribosomal peptide synthase:Amino acid adenylation [Crocosphaera watsonii WH 8501],638429387-DECOY,?,,0,0.94696,0,0,0.94669,0,0,0,0,1.1023,0,2.6006,0,0,0,2.0016
588,ZP_00516206 CwatDRAFT_3672 Protein of unknown function DUF608 [Crocosphaera watsonii WH 8501],638431479,91 kDa,,14.462,8.5226,4.0058,11.123,5.6801,6.2914,10.27,4.6424,4.3641,4.4093,8.8577,5.2013,9.131,12.566,6.6649,9.0072
589,ZP_00516350 CwatDRAFT_3563 similar to Uncharacterized protein conserved in bacteria [Crocosphaera watsonii WH 8501],638431627,31 kDa,,6.749,2.8409,2.0029,2.0224,0.94669,1.7976,1.8673,0,4.3641,0,0,3.901,1.1414,4.1888,3.8085,2.0016
590,ZP_00516111 CwatDRAFT_3781 hypothetical protein [Crocosphaera watsonii WH 8501],638431396,14 kDa,,14.462,19.886,21.03,19.213,23.667,18.874,16.805,17.641,16.365,19.842,14.172,23.406,18.262,13.614,17.138,22.018
591,"ZP_00515910 CwatDRAFT_4018 Light-independent protochlorophyllide reductase, N subunit [Crocosphaera watsonii WH 8501]",638431178,53 kDa,,0.96415,0.94696,0,1.0112,0,0,0,0,3.2731,26.456,41.631,14.304,9.131,1.0472,0,0
592,ZP_00514148 CwatDRAFT_6375 microcompartments protein [Crocosphaera watsonii WH 8501],638429406,12 kDa,,21.211,16.098,19.028,18.202,21.774,14.38,7.469,10.213,14.183,15.432,21.258,24.706,31.958,29.322,35.229,37.03
593,"ZP_00513869 CwatDRAFT_6575 Histidyl-tRNA synthetase 2, putative [Crocosphaera watsonii WH 8501]",638429124,45 kDa,,11.57,4.7348,4.0058,4.0448,1.8934,8.089,3.7345,8.3564,8.7282,0,1.7715,0,3.4241,3.1416,5.7128,6.0048
594,ZP_00514908 CwatDRAFT_4890 DNA topoisomerase (ATP-hydrolyzing) [Crocosphaera watsonii WH 8501],638430170,94 kDa,1,0.96415,4.7348,2.0029,3.0336,0.94669,3.5951,4.6681,2.7855,3.2731,1.1023,9.7435,0,0,1.0472,0,1.0008
595,ZP_00514988 CwatDRAFT_4926 Heavy metal transport/detoxification protein [Crocosphaera watsonii WH 8501],638430253,7 kDa,,5.7849,2.8409,6.0087,17.19,6.6268,10.785,10.27,14.856,8.7282,6.6139,3.5431,6.5016,3.4241,3.1416,2.8564,2.0016
596,"ZP_00518641 CwatDRAFT_0967 Light-independent protochlorophyllide reductase, B subunit [Crocosphaera watsonii WH 8501]",638433928,57 kDa,,4.8207,1.8939,1.0015,0,0,0,0,1.857,8.7282,6.6139,23.916,2.6006,13.696,8.3776,1.9043,0
597,"ZP_00518134 CwatDRAFT_1440 Magnesium chelatase, ChlI subunit [Crocosphaera watsonii WH 8501]",638433428,75 kDa,,6.749,5.6817,4.0058,3.0336,1.8934,0.89878,0.93363,1.857,10.91,8.8186,5.3146,1.3003,9.131,4.1888,3.8085,2.0016
598,ZP_00513891 CwatDRAFT_6219 Terpene synthase [Crocosphaera watsonii WH 8501],638429146,73 kDa,,1.9283,5.6817,10.015,8.0896,9.4669,6.2914,2.8009,0.92849,2.1821,0,0.88577,0,0,0,0.95213,4.0032
599,"ZP_00516964 CwatDRAFT_2826 Peptidase U62, modulator of DNA gyrase [Crocosphaera watsonii WH 8501]",638432236,53 kDa,,5.7849,5.6817,4.0058,3.0336,2.8401,2.6963,3.7345,5.5709,4.3641,3.307,5.3146,2.6006,6.8482,4.1888,1.9043,3.0024
600,ZP_00518798 CwatDRAFT_0949 IspG protein [Crocosphaera watsonii WH 8501],638434087,45 kDa,,11.57,9.4696,4.0058,3.0336,1.8934,5.3927,5.6018,0.92849,5.4551,2.2046,10.629,1.3003,7.9896,13.614,11.426,12.01
601,ZP_00514248 CwatDRAFT_5262 ABC transporter [Crocosphaera watsonii WH 8501],638429507,37 kDa,,17.355,17.045,18.026,14.157,5.6801,2.6963,6.5354,6.4994,4.3641,2.2046,1.7715,2.6006,2.2827,3.1416,3.8085,4.0032
602,ZP_00515416 CwatDRAFT_4480 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Crocosphaera watsonii WH 8501],638430694,43 kDa,,41.458,14.204,7.0102,2.0224,0,0,0,0,0,0,5.3146,1.3003,5.7069,20.944,18.09,14.011
603,ZP_00518424 CwatDRAFT_0664 Protein of unknown function DUF1001 [Crocosphaera watsonii WH 8501],638433711,25 kDa,,18.319,8.5226,8.0116,4.0448,3.7868,4.4939,4.6681,5.5709,7.6372,9.9209,7.9719,13.003,9.131,18.85,20.947,15.012
604,ZP_00513605 CwatDRAFT_6710 Acetylglutamate kinase [Crocosphaera watsonii WH 8501],638428859,32 kDa,,22.175,8.5226,14.02,9.1008,8.5202,7.1902,9.3363,10.213,6.5462,9.9209,8.8577,1.3003,6.8482,7.3304,5.7128,6.0048
605,ZP_00518811 CwatDRAFT_0780 ABC-1 [Crocosphaera watsonii WH 8501],638434099,62 kDa,,11.57,7.5756,12.017,10.112,11.36,9.8866,10.27,4.6424,2.1821,5.5116,9.7435,0,7.9896,12.566,4.7607,10.008
606,"ZP_00515778 CwatDRAFT_4172 3,4-Dihydroxy-2-butanone 4-phosphate synthase:GTP cyclohydrolase II [Crocosphaera watsonii WH 8501]",638431056,63 kDa,,0,0,15.022,15.168,10.414,17.976,6.5354,0.92849,0,1.1023,0,0,0,1.0472,0,0
607,ZP_00517580 CwatDRAFT_2235 Inorganic diphosphatase [Crocosphaera watsonii WH 8501],638432861,15 kDa,,14.462,12.31,15.022,13.146,15.147,14.38,14.004,18.57,8.7282,15.432,12.401,31.208,21.686,25.133,15.234,9.0072
608,ZP_00517539 CwatDRAFT_2160 Exoribonuclease II [Crocosphaera watsonii WH 8501],638432824,76 kDa,,6.749,3.7878,5.0073,4.0448,5.6801,2.6963,4.6681,3.7139,6.5462,4.4093,4.4289,2.6006,4.5655,1.0472,1.9043,1.0008
609,"ZP_00518196 CwatDRAFT_1722 Peptidase U62, modulator of DNA gyrase [Crocosphaera watsonii WH 8501]",638433476,50 kDa,,0.96415,0.94696,1.0015,0,0.94669,2.6963,0.93363,3.7139,3.2731,0,0.88577,0,1.1414,1.0472,0,0
610,ZP_00516060 CwatDRAFT_3971 Acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase [Crocosphaera watsonii WH 8501],638431301,30 kDa,,6.749,5.6817,4.0058,4.0448,0.94669,2.6963,4.6681,2.7855,2.1821,1.1023,5.3146,0,3.4241,4.1888,4.7607,3.0024
611,ZP_00514687 CwatDRAFT_5530 ABC-1 [Crocosphaera watsonii WH 8501],638429949,65 kDa,,2.8924,2.8409,2.0029,4.0448,0.94669,2.6963,2.8009,0.92849,2.1821,3.307,3.5431,1.3003,2.2827,2.0944,2.8564,2.0016
612,ZP_00517428 CwatDRAFT_2319 Fructose-bisphosphate aldolase [Crocosphaera watsonii WH 8501],638432701,38 kDa,,3.8566,2.8409,1.0015,1.0112,1.8934,8.089,4.6681,8.3564,12.001,8.8186,17.715,3.901,9.131,9.4248,3.8085,0
613,ZP_00518751 CwatDRAFT_1322 3-isopropylmalate dehydratase large subunit [Crocosphaera watsonii WH 8501],638434038,50 kDa,,8.6773,3.7878,5.0073,7.0784,5.6801,13.482,11.204,16.713,14.183,13.228,12.401,3.901,5.7069,2.0944,1.9043,3.0024
614,ZP_00518617 CwatDRAFT_1118 hypothetical protein [Crocosphaera watsonii WH 8501],638433908,18 kDa,,6.749,10.417,8.0116,10.112,10.414,8.9878,10.27,12.07,8.7282,7.7162,8.8577,3.901,5.7069,8.3776,2.8564,3.0024
615,"ZP_00514311 CwatDRAFT_5304 Cytochrome c, class I [Crocosphaera watsonii WH 8501]",638429570,18 kDa,,20.247,20.833,16.023,18.202,11.36,8.9878,9.3363,11.142,13.092,12.126,31.002,10.403,23.969,29.322,25.708,30.024
616,ZP_00518129 CwatDRAFT_1290 hypothetical protein [Crocosphaera watsonii WH 8501],638433403,28 kDa,,12.534,4.7348,11.016,3.0336,1.8934,3.5951,9.3363,6.4994,9.8193,4.4093,7.0862,9.1022,9.131,9.4248,3.8085,9.0072
617,ZP_00515421 CwatDRAFT_4486 DNA polymerase III alpha subunit:Protein splicing (intein) site [Crocosphaera watsonii WH 8501],638430703,100 kDa,,0,0.94696,1.0015,3.0336,0,0,0,0,0,0,0,1.3003,0,0,0,0
618,ZP_00517555 CwatDRAFT_2370 Conserved hypothetical protein 103 [Crocosphaera watsonii WH 8501],638432839,13 kDa,,16.391,16.098,12.017,16.179,13.254,8.089,8.4026,14.856,7.6372,17.637,5.3146,19.505,5.7069,9.4248,10.473,10.008
619,ZP_00514358 CwatDRAFT_5899 ABC transporter [Crocosphaera watsonii WH 8501],638429617,67 kDa,,6.749,6.6287,5.0073,5.056,3.7868,4.4939,1.8673,1.857,3.2731,2.2046,1.7715,0,1.1414,1.0472,0.95213,3.0024
620,ZP_00514892 CwatDRAFT_5228 N-acylneuraminate-9-phosphate synthase [Crocosphaera watsonii WH 8501],638430154,85 kDa,,20.247,14.204,8.0116,5.056,4.7335,2.6963,4.6681,2.7855,4.3641,3.307,5.3146,1.3003,6.8482,11.519,10.473,6.0048
621,"ZP_00513722 CwatDRAFT_6117 dTDP-4-dehydrorhamnose 3,5-epimerase [Crocosphaera watsonii WH 8501]",638428977,21 kDa,,12.534,13.257,17.025,17.19,7.5735,4.4939,0.93363,0.92849,5.4551,8.8186,4.4289,22.105,17.121,14.661,4.7607,6.0048
622,ZP_00518834 CwatDRAFT_1168 DegT/DnrJ/EryC1/StrS aminotransferase [Crocosphaera watsonii WH 8501],638434116,42 kDa,,12.534,14.204,8.0116,1.0112,2.8401,6.2914,3.7345,4.6424,0,1.1023,8.8577,1.3003,7.9896,17.802,19.043,8.0064
623,"ZP_00514379 CwatDRAFT_5894 Peptidase S13, D-Ala-D-Ala carboxypeptidase C [Crocosphaera watsonii WH 8501]",638429639,55 kDa,,16.391,17.045,26.038,23.258,19.881,17.077,13.071,11.142,7.6372,6.6139,0,15.604,12.555,6.2832,5.7128,7.0056
624,ZP_00517727 CwatDRAFT_1852 Phosphoribosyl-AMP cyclohydrolase:Phosphoribosyl-ATP pyrophosphohydrolase [Crocosphaera watsonii WH 8501],638433008,25 kDa,,18.319,10.417,10.015,12.134,13.254,17.077,17.739,12.999,13.092,13.228,18.601,11.703,5.7069,12.566,17.138,8.0064
625,ZP_00513953 CwatDRAFT_6251 Beta-lactamase-like:Flavin reductase-like:Flavodoxin/nitric oxide synthase [Crocosphaera watsonii WH 8501],638429210,63 kDa,,19.283,11.363,1.0015,0,0,0,0,0,1.091,2.2046,10.629,0,11.414,10.472,6.6649,7.0056
626,ZP_00514349 CwatDRAFT_5324 Putative RNA methylase:THUMP [Crocosphaera watsonii WH 8501],638429608,43 kDa,,0.96415,2.8409,3.0044,4.0448,2.8401,5.3927,4.6681,1.857,8.7282,4.4093,14.172,2.6006,5.7069,3.1416,0.95213,0
627,ZP_00518507 CwatDRAFT_1405 Short-chain dehydrogenase/reductase SDR [Crocosphaera watsonii WH 8501],638433787,26 kDa,,22.175,16.098,13.019,8.0896,10.414,11.684,14.004,15.784,12.001,15.432,15.058,13.003,10.272,20.944,16.186,18.014
628,ZP_00514800 CwatDRAFT_5589 N-acetyl-gamma-glutamyl-phosphate reductase [Crocosphaera watsonii WH 8501],638430062,38 kDa,,8.6773,4.7348,8.0116,13.146,18.934,19.773,16.805,12.07,12.001,7.7162,12.401,1.3003,6.8482,5.236,3.8085,5.004
629,ZP_00514701 CwatDRAFT_5539 Alpha/beta hydrolase fold [Crocosphaera watsonii WH 8501],638429963,32 kDa,,4.8207,3.7878,3.0044,5.056,3.7868,10.785,6.5354,6.4994,6.5462,1.1023,7.0862,2.6006,2.2827,5.236,4.7607,1.0008
630,ZP_00515671 CwatDRAFT_4357 D-alanine--D-alanine ligase [Crocosphaera watsonii WH 8501],638430939,38 kDa,,19.283,11.363,12.017,9.1008,6.6268,6.2914,6.5354,4.6424,5.4551,5.5116,6.2004,10.403,11.414,19.897,16.186,11.009
631,ZP_00515818 CwatDRAFT_4215 hypothetical protein [Crocosphaera watsonii WH 8501],638431075,20 kDa,,14.462,14.204,12.017,9.1008,9.4669,8.089,9.3363,7.4279,8.7282,1.1023,6.2004,10.403,7.9896,12.566,13.33,15.012
632,ZP_00516689 CwatDRAFT_2993 stress protein [Crocosphaera watsonii WH 8501],638431967,21 kDa,1,60.741,65.34,64.093,59.661,39.761,42.243,41.08,41.782,41.459,45.195,25.687,15.604,19.403,24.086,35.229,36.029
633,ZP_00514600 CwatDRAFT_5476 Methylenetetrahydrofolate reductase [Crocosphaera watsonii WH 8501],638429861,33 kDa,,28.924,18.939,5.0073,2.0224,0,0.89878,0,0.92849,2.1821,4.4093,2.6573,3.901,10.272,20.944,24.755,29.023
634,ZP_00513793 CwatDRAFT_6161 FAD-dependent pyridine nucleotide-disulphide oxidoreductase [Crocosphaera watsonii WH 8501],638429048,45 kDa,,9.6415,9.4696,9.0131,8.0896,9.4669,11.684,10.27,7.4279,7.6372,8.8186,7.9719,6.5016,10.272,9.4248,5.7128,9.0072
635,ZP_00517786 CwatDRAFT_1494 Stage II sporulation E [Crocosphaera watsonii WH 8501],638433064,54 kDa,,0,0,1.0015,0,1.8934,0,0,0,0,0,0,0,0,0,0,0
636,ZP_00516856 CwatDRAFT_3240 TPR repeat:TPR repeat [Crocosphaera watsonii WH 8501],638432113,20 kDa,,19.283,9.4696,12.017,12.134,8.5202,8.9878,10.27,18.57,14.183,14.33,7.9719,5.2013,10.272,12.566,8.5692,10.008
637,ZP_00518059 CwatDRAFT_1622 TPR repeat:TPR repeat [Crocosphaera watsonii WH 8501],638433346,69 kDa,,8.6773,10.417,6.0087,6.0672,8.5202,8.9878,9.3363,11.142,13.092,15.432,12.401,1.3003,7.9896,11.519,8.5692,15.012
638,ZP_00516336 CwatDRAFT_3547 Single-stranded nucleic acid binding R3H [Crocosphaera watsonii WH 8501],638431603,67 kDa,,11.57,6.6287,3.0044,6.0672,4.7335,2.6963,2.8009,0.92849,1.091,0,5.3146,0,1.1414,5.236,5.7128,5.004
639,ZP_00517063 CwatDRAFT_2447 Ribosomal protein L29 [Crocosphaera watsonii WH 8501],638432353,9 kDa,,7.7132,11.363,15.022,13.146,14.2,15.279,16.805,17.641,14.183,15.432,10.629,29.907,17.121,14.661,19.043,14.011
640,"ZP_00514006 CwatDRAFT_6292 Magnesium chelatase, ChlI subunit [Crocosphaera watsonii WH 8501]",638429263,40 kDa,,7.7132,1.8939,0,1.0112,1.8934,0.89878,0.93363,1.857,3.2731,3.307,11.515,2.6006,4.5655,9.4248,2.8564,0
641,"ZP_00515236 CwatDRAFT_4697 Ribosomal protein S10, bacterial form [Crocosphaera watsonii WH 8501]",638430523,12 kDa,,15.426,13.257,13.019,17.19,0.94669,3.5951,5.6018,5.5709,3.2731,17.637,9.7435,24.706,20.545,9.4248,10.473,11.009
642,ZP_00514500 CwatDRAFT_5835 NUDIX hydrolase [Crocosphaera watsonii WH 8501],638429760,17 kDa,,9.6415,16.098,14.02,13.146,6.6268,8.9878,9.3363,7.4279,3.2731,5.5116,7.0862,6.5016,14.838,5.236,8.5692,16.013
643,ZP_00515659 CwatDRAFT_4406 Ornithine carbamoyltransferase [Crocosphaera watsonii WH 8501],638430927,34 kDa,,10.606,7.5756,6.0087,7.0784,23.667,21.571,14.004,15.784,9.8193,8.8186,6.2004,5.2013,6.8482,10.472,9.5213,9.0072
644,ZP_00514943 CwatDRAFT_5186 Protein of unknown function DUF820 [Crocosphaera watsonii WH 8501],638430206,26 kDa,,10.606,6.6287,6.0087,6.0672,11.36,8.089,11.204,6.4994,6.5462,7.7162,15.058,3.901,10.272,10.472,18.09,22.018
645,"ZP_00515517 CwatDRAFT_4593 DNA polymerase III, beta chain [Crocosphaera watsonii WH 8501]",638430801,43 kDa,,8.6773,9.4696,3.0044,8.0896,3.7868,1.7976,8.4026,6.4994,5.4551,3.307,6.2004,1.3003,1.1414,1.0472,0,0
646,ZP_00518452 CwatDRAFT_0606 similar to Nucleoside-diphosphate-sugar epimerases [Crocosphaera watsonii WH 8501],638433737,34 kDa,,22.175,13.257,11.016,15.168,9.4669,10.785,20.54,14.856,9.8193,13.228,16.83,1.3003,0,9.4248,7.6171,3.0024
647,"ZP_00518529 CwatDRAFT_1043 Cobyrinic acid a,c-diamide synthase:Protein of unknown function DUF59 [Crocosphaera watsonii WH 8501]",638433810,37 kDa,,11.57,5.6817,2.0029,4.0448,1.8934,1.7976,1.8673,3.7139,4.3641,3.307,8.8577,1.3003,4.5655,13.614,11.426,9.0072
648,ZP_00514971 CwatDRAFT_5170 conserved hypothetical protein [Crocosphaera watsonii WH 8501],638430236,49 kDa,,4.8207,3.7878,4.0058,2.0224,5.6801,9.8866,4.6681,6.4994,6.5462,0,2.6573,0,1.1414,1.0472,0.95213,1.0008
649,"ZP_00514999 CwatDRAFT_4934 Peptidase S13, D-Ala-D-Ala carboxypeptidase C [Crocosphaera watsonii WH 8501]",638430264,34 kDa,,28.924,28.409,5.0073,0,0,0,0,0,0,0,0,0,5.7069,11.519,13.33,13.01
650,ZP_00516541 CwatDRAFT_3418 hypothetical protein [Crocosphaera watsonii WH 8501],638431800,52 kDa,,7.7132,5.6817,5.0073,7.0784,5.6801,8.089,7.469,3.7139,8.7282,3.307,7.0862,2.6006,2.2827,4.1888,5.7128,7.0056
651,"ZP_00518456 CwatDRAFT_0610 Oxidoreductase, N-terminal [Crocosphaera watsonii WH 8501]",638433741,42 kDa,,0,0.94696,2.0029,0,0.94669,3.5951,0.93363,0,0,0,0.88577,1.3003,1.1414,0,0,0
652,ZP_00517075 CwatDRAFT_2460 Oxygen-independent coproporphyrinogen III oxidase HemN [Crocosphaera watsonii WH 8501],638432333,54 kDa,,0,0,0,0,0,0,0.93363,23.212,30.549,12.126,14.172,1.3003,0,0,0,0
653,"ZP_00516199 CwatDRAFT_3651 Phosphoribosylaminoimidazole carboxylase, ATPase subunit [Crocosphaera watsonii WH 8501]",638431463,42 kDa,,1.9283,4.7348,1.0015,3.0336,3.7868,8.089,7.469,2.7855,3.2731,1.1023,2.6573,1.3003,4.5655,3.1416,10.473,8.0064
654,ZP_00514653 CwatDRAFT_5752 hypothetical protein [Crocosphaera watsonii WH 8501],638429915,20 kDa,,3.8566,6.6287,6.0087,6.0672,9.4669,5.3927,6.5354,6.4994,4.3641,7.7162,0.88577,1.3003,6.8482,3.1416,2.8564,1.0008
655,ZP_00517817 CwatDRAFT_1793 Glycine--tRNA ligase [Crocosphaera watsonii WH 8501],638433087,17 kDa,,20.247,17.992,18.026,14.157,12.307,8.9878,11.204,10.213,9.8193,16.535,7.9719,20.805,21.686,20.944,17.138,15.012
