croco diel 2015,Identified Proteins (1725),Accession Number,Molecular Weight,Protein Grouping Ambiguity,c02,c04,c06,c08,c10,c12,c14,c16,c18,c20,c22,c24
431,ZP_00519345 CwatDRAFT_0088 Isoflavone reductase [Crocosphaera watsonii WH 8501],638434634,37 kDa,,0,1.9561,6.7718,7.8413,3.5963,2.187,3.6502,2.8657,3.0662,2.0046,5.2781,4.9309
432,ZP_00513780 CwatDRAFT_6617 Homoserine dehydrogenase [Crocosphaera watsonii WH 8501],638429035,46 kDa,,23.235,23.474,20.316,28.005,23.975,24.058,22.814,17.194,15.331,20.046,21.992,22.682
433,ZP_00517057 CwatDRAFT_2441 Ribosomal L23 protein [Crocosphaera watsonii WH 8501],638432347,11 kDa,,22.267,16.627,10.641,12.322,13.186,7.6547,6.3879,6.6866,8.1766,9.0207,7.0374,6.9033
434,ZP_00514545 CwatDRAFT_5816 Fumarylacetoacetate (FAA) hydrolase [Crocosphaera watsonii WH 8501],638429806,30 kDa,,6.7769,16.627,12.576,11.202,13.186,18.59,11.863,15.284,8.1766,11.025,8.7968,10.848
435,ZP_00516659 CwatDRAFT_2735 hypothetical protein [Crocosphaera watsonii WH 8501],638431935,62 kDa,,8.7131,16.627,15.479,12.322,13.186,9.8417,19.164,21.015,13.287,15.034,14.075,12.82
436,ZP_00515701 CwatDRAFT_4382 SLT:SLT [Crocosphaera watsonii WH 8501],638430969,83 kDa,,0,4.8903,8.7067,5.6009,7.1926,3.2806,1.8251,1.9105,0,0,4.3984,3.9448
437,ZP_00518643 CwatDRAFT_0969 Aldehyde dehydrogenase [Crocosphaera watsonii WH 8501],638433930,49 kDa,,7.745,13.693,12.576,17.923,10.789,14.216,14.601,14.328,12.265,12.028,14.955,16.765
438,ZP_00514653 CwatDRAFT_5752 hypothetical protein [Crocosphaera watsonii WH 8501],638429915,20 kDa,,2.9044,9.7807,5.8044,15.683,16.783,10.935,10.951,10.508,17.375,16.037,12.316,9.8619
439,"ZP_00515366 CwatDRAFT_4840 Glycoside hydrolase, family 13, N-terminal:Alpha amylase, catalytic region [Crocosphaera watsonii WH 8501]",638430541,75 kDa,,2.9044,1.9561,7.7393,2.2404,2.3975,2.187,3.6502,2.8657,3.0662,3.0069,4.3984,4.9309
440,"ZP_00514314 CwatDRAFT_5307 Histidine kinase, HAMP region:Bacterial chemotaxis sensory transducer [Crocosphaera watsonii WH 8501]",638429573,62 kDa,,4.8406,8.8026,11.609,4.4807,4.795,5.4676,7.3005,9.5523,8.1766,10.023,9.6765,12.82
441,ZP_00515789 CwatDRAFT_4183 Coproporphyrinogen oxidase [Crocosphaera watsonii WH 8501],638431070,40 kDa,,11.617,12.715,15.479,12.322,9.5901,10.935,9.1256,11.463,9.1987,15.034,11.436,12.82
442,ZP_00518972 CwatDRAFT_0537 Rhodanese-like [Crocosphaera watsonii WH 8501],638434263,17 kDa,,20.331,16.627,19.348,14.562,19.18,13.122,22.814,23.881,17.375,15.034,20.233,16.765
443,ZP_00514736 CwatDRAFT_5713 Beta-ketoacyl synthase:Acyl transferase region:Phosphopantetheine-binding [Crocosphaera watsonii WH 8501],638429998,173 kDa,,0,2.9342,3.8696,2.2404,1.1988,2.187,2.7377,2.8657,2.0441,1.0023,1.7594,2.9586
444,ZP_00514566 CwatDRAFT_5799 DRTGG [Crocosphaera watsonii WH 8501],638429827,39 kDa,,18.394,16.627,19.348,15.683,13.186,15.309,14.601,17.194,12.265,14.032,14.955,16.765
445,ZP_00515641 CwatDRAFT_4420 Protein of unknown function DUF87 [Crocosphaera watsonii WH 8501],638430908,64 kDa,,0.96812,0,0,0,0,0,0.91256,0,0,0,0,0
446,"ZP_00516427 CwatDRAFT_4036 Transketolase, central region:Transketolase, C terminal [Crocosphaera watsonii WH 8501]",638431714,36 kDa,,20.331,8.8026,8.7067,10.082,7.1926,9.8417,6.3879,12.418,4.0883,7.0161,13.195,10.848
447,ZP_00514932 CwatDRAFT_4899 Phosphoribosylglycinamide synthetase [Crocosphaera watsonii WH 8501],638430194,47 kDa,,7.745,19.561,20.316,15.683,19.18,17.496,17.339,21.97,23.508,18.041,21.992,18.738
448,"ZP_00514512 CwatDRAFT_5433 periplasmic protein, function unknown [Crocosphaera watsonii WH 8501]",638429772,29 kDa,,8.7131,16.627,16.446,14.562,21.578,14.216,14.601,11.463,17.375,12.028,12.316,14.793
449,ZP_00516395 CwatDRAFT_3827 Nitrogen fixation protein NifW [Crocosphaera watsonii WH 8501],638431678,13 kDa,,18.394,4.8903,4.837,4.4807,5.9938,9.8417,5.4754,7.6418,11.243,8.0184,6.1578,5.9171
450,ZP_00517492 CwatDRAFT_2249 Ribosomal protein L19 [Crocosphaera watsonii WH 8501],638432776,14 kDa,,0.96812,7.8245,9.6741,8.9615,2.3975,5.4676,8.2131,3.8209,1.0221,4.0092,5.2781,4.9309
451,ZP_00514961 CwatDRAFT_4914 Dihydrodipicolinate reductase [Crocosphaera watsonii WH 8501],638430224,29 kDa,,0.96812,11.737,14.511,13.442,11.988,10.935,18.251,14.328,10.221,11.025,14.955,14.793
452,ZP_00515048 CwatDRAFT_4966 Prolyl oligopeptidase [Crocosphaera watsonii WH 8501],638430313,78 kDa,,3.8725,5.8684,7.7393,7.8413,5.9938,10.935,10.038,8.597,7.1545,12.028,7.9171,9.8619
453,ZP_00516098 CwatDRAFT_3767 Alanine--tRNA ligase [Crocosphaera watsonii WH 8501],638431366,29 kDa,,15.49,6.8465,9.6741,8.9615,2.3975,5.4676,7.3005,5.7314,7.1545,8.0184,7.0374,7.8895
454,ZP_00519172 CwatDRAFT_0282 Ribosome recycling factor [Crocosphaera watsonii WH 8501],638434461,14 kDa,,3.8725,11.737,11.609,13.442,13.186,16.403,12.776,14.328,17.375,16.037,11.436,14.793
455,"ZP_00514091 CwatDRAFT_6332 GAF:ATP-binding region, ATPase-like:Histidine kinase A, N-terminal [Crocosphaera watsonii WH 8501]",638429348,80 kDa,,1.9362,5.8684,5.8044,3.3606,4.795,7.6547,8.2131,6.6866,8.1766,4.0092,7.9171,8.8757
456,ZP_00517716 CwatDRAFT_1840 Alanine dehydrogenase and pyridine nucleotide transhydrogenase [Crocosphaera watsonii WH 8501],638433000,38 kDa,,9.6812,14.671,10.641,11.202,8.3913,10.935,9.1256,9.5523,5.1104,11.025,11.436,9.8619
457,"ZP_00517839 CwatDRAFT_1730 Peptidase M48, Ste24p [Crocosphaera watsonii WH 8501]",638433121,71 kDa,,0.96812,1.9561,3.8696,23.524,28.77,18.59,11.863,2.8657,4.0883,2.0046,1.7594,2.9586
458,ZP_00519125 CwatDRAFT_0304 Tic22-like [Crocosphaera watsonii WH 8501],638434412,27 kDa,,14.522,19.561,16.446,23.524,20.379,7.6547,4.5628,3.8209,3.0662,13.03,11.436,14.793
459,ZP_00519167 CwatDRAFT_0469 Histidinol dehydrogenase [Crocosphaera watsonii WH 8501],638434456,47 kDa,,1.9362,9.7807,11.609,10.082,4.795,10.935,17.339,18.149,3.0662,6.0138,14.955,10.848
460,ZP_00516688 CwatDRAFT_2992 stress protein [Crocosphaera watsonii WH 8501],638431966,21 kDa,TRUE,30.012,19.561,17.413,17.923,14.385,14.216,15.514,11.463,10.221,17.039,13.195,13.807
461,ZP_00516664 CwatDRAFT_2740 hypothetical protein [Crocosphaera watsonii WH 8501],638431943,15 kDa,,2.9044,9.7807,4.837,14.562,15.584,12.029,8.2131,7.6418,12.265,9.0207,11.436,7.8895
462,ZP_00516745 CwatDRAFT_3309 CO2 hydration [Crocosphaera watsonii WH 8501],638432027,44 kDa,,0,5.8684,3.8696,1.1202,3.5963,3.2806,5.4754,4.7761,4.0883,3.0069,5.2781,3.9448
463,ZP_00518993 CwatDRAFT_0626 Photosystem II 12 kDa extrinsic [Crocosphaera watsonii WH 8501],638434283,14 kDa,,47.438,25.43,26.12,28.005,17.981,8.7482,10.951,10.508,22.486,19.044,21.992,29.586
464,ZP_00516996 CwatDRAFT_3021 hypothetical protein [Crocosphaera watsonii WH 8501],638432277,16 kDa,,15.49,10.759,7.7393,16.803,14.385,7.6547,7.3005,6.6866,7.1545,7.0161,12.316,7.8895
465,ZP_00518999 CwatDRAFT_0582 Small GTP-binding protein domain:GTP-binding protein LepA [Crocosphaera watsonii WH 8501],638434289,68 kDa,,0,1.9561,3.8696,0,0,0,1.8251,1.9105,0,1.0023,3.5187,2.9586
466,"ZP_00519145 CwatDRAFT_0160 Glycosyl hydrolase, BNR repeat [Crocosphaera watsonii WH 8501]",638434438,36 kDa,,49.374,10.759,9.6741,7.8413,10.789,10.935,8.2131,6.6866,9.1987,10.023,13.195,9.8619
467,ZP_00514857 CwatDRAFT_5611 Flavin reductase-like [Crocosphaera watsonii WH 8501],638430119,18 kDa,,13.554,12.715,8.7067,10.082,16.783,10.935,8.2131,10.508,12.265,9.0207,8.7968,10.848
468,ZP_00516582 CwatDRAFT_3495 Nitrate reductase [Crocosphaera watsonii WH 8501],638431863,83 kDa,,0,0,0,1.1202,0,0,0,0,0,0,0,0
469,"ZP_00517549 CwatDRAFT_2172 Aspartate kinase:Aspartate kinase, monofunctional class [Crocosphaera watsonii WH 8501]",638432826,64 kDa,,5.8087,6.8465,13.544,10.082,7.1926,9.8417,8.2131,10.508,12.265,7.0161,18.473,14.793
470,ZP_00514132 CwatDRAFT_6359 Amino acid adenylation [Crocosphaera watsonii WH 8501],638429390,126 kDa,,2.9044,4.8903,3.8696,1.1202,1.1988,2.187,4.5628,3.8209,2.0441,6.0138,4.3984,5.9171
471,ZP_00513952 CwatDRAFT_6249 Initiation factor 3 [Crocosphaera watsonii WH 8501],638429209,21 kDa,,12.586,9.7807,8.7067,10.082,7.1926,10.935,5.4754,5.7314,9.1987,13.03,6.1578,6.9033
472,ZP_00516100 CwatDRAFT_3769 UDP-N-acetylmuramyl-tripeptide synthetase [Crocosphaera watsonii WH 8501],638431375,55 kDa,,9.6812,7.8245,4.837,5.6009,5.9938,6.5611,7.3005,6.6866,5.1104,7.0161,7.9171,7.8895
473,ZP_00517787 CwatDRAFT_1495 Argininosuccinate lyase [Crocosphaera watsonii WH 8501],638433063,52 kDa,,3.8725,9.7807,12.576,10.082,8.3913,9.8417,10.038,13.373,10.221,12.028,12.316,11.834
474,ZP_00518530 CwatDRAFT_1044 Methionyl-tRNA formyltransferase [Crocosphaera watsonii WH 8501],638433806,37 kDa,,7.745,3.9123,4.837,5.6009,5.9938,7.6547,5.4754,6.6866,3.0662,4.0092,6.1578,11.834
475,ZP_00516439 CwatDRAFT_4051 ThiamineS [Crocosphaera watsonii WH 8501],638431703,10 kDa,,16.458,8.8026,6.7718,12.322,23.975,19.683,16.426,8.597,13.287,14.032,5.2781,5.9171
476,"ZP_00516613 CwatDRAFT_3434 SNF2-related:Helicase, C-terminal [Crocosphaera watsonii WH 8501]",638431899,120 kDa,,0,0,0,0,0,0,0,0.95523,0,0,0,1.9724
477,ZP_00516868 CwatDRAFT_3292 Protein of unknown function DUF1257 [Crocosphaera watsonii WH 8501],638432145,13 kDa,,13.554,16.627,21.283,31.365,29.969,10.935,4.5628,3.8209,5.1104,5.0115,12.316,16.765
478,ZP_00514394 CwatDRAFT_5887 Adenylylsulfate kinase [Crocosphaera watsonii WH 8501],638429654,20 kDa,,26.139,15.649,16.446,16.803,16.783,14.216,16.426,14.328,16.353,16.037,12.316,13.807
479,ZP_00517063 CwatDRAFT_2447 Ribosomal protein L29 [Crocosphaera watsonii WH 8501],638432353,9 kDa,,39.693,15.649,14.511,19.043,20.379,19.683,16.426,15.284,20.441,21.048,17.594,20.71
480,ZP_00518751 CwatDRAFT_1322 3-isopropylmalate dehydratase large subunit [Crocosphaera watsonii WH 8501],638434038,50 kDa,,0,0.97807,5.8044,1.1202,1.1988,2.187,1.8251,2.8657,3.0662,2.0046,5.2781,3.9448
481,"ZP_00516773 CwatDRAFT_2875 Aminotransferase, class V [Crocosphaera watsonii WH 8501]",638432057,45 kDa,,7.745,12.715,14.511,7.8413,8.3913,6.5611,8.2131,9.5523,5.1104,8.0184,14.075,14.793
482,ZP_00515416 CwatDRAFT_4480 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Crocosphaera watsonii WH 8501],638430694,43 kDa,,10.649,16.627,18.381,8.9615,2.3975,1.0935,3.6502,3.8209,6.1324,8.0184,14.955,16.765
483,"ZP_00516952 CwatDRAFT_2814 Excinuclease ABC, A subunit [Crocosphaera watsonii WH 8501]",638432235,105 kDa,,0,0.97807,4.837,0,0,0,0.91256,0,0,2.0046,0.87968,0
484,"ZP_00516229 CwatDRAFT_3695 Alpha amylase, catalytic region:Alpha amylase, C-terminal all-beta [Crocosphaera watsonii WH 8501]",638431509,53 kDa,,0,0,0,0,0,0,0,0,1.0221,0,0,0
485,ZP_00516666 CwatDRAFT_2742 Peptidase M50 [Crocosphaera watsonii WH 8501],638431945,56 kDa,,7.745,11.737,9.6741,8.9615,10.789,14.216,18.251,13.373,8.1766,11.025,11.436,13.807
486,ZP_00516444 CwatDRAFT_4057 hypothetical protein [Crocosphaera watsonii WH 8501],638431694,25 kDa,,14.522,15.649,15.479,12.322,20.379,14.216,15.514,15.284,21.464,20.046,10.556,17.751
487,"ZP_00517227 CwatDRAFT_2702 Glycogen debranching enzyme, archaeal type [Crocosphaera watsonii WH 8501]",638432506,75 kDa,,0,3.9123,4.837,5.6009,2.3975,5.4676,7.3005,7.6418,3.0662,3.0069,10.556,3.9448
488,ZP_00518809 CwatDRAFT_1526 Succinate dehydrogenase/fumarate reductase iron-sulfur protein [Crocosphaera watsonii WH 8501],638434091,40 kDa,,0.96812,3.9123,5.8044,3.3606,3.5963,3.2806,3.6502,1.9105,3.0662,5.0115,4.3984,4.9309
489,ZP_00514631 CwatDRAFT_5496 Periplasmic solute binding protein [Crocosphaera watsonii WH 8501],638429893,40 kDa,,15.49,10.759,7.7393,12.322,14.385,13.122,12.776,10.508,11.243,14.032,6.1578,6.9033
490,"ZP_00516527 CwatDRAFT_3402 Glycosyl transferase, family 51:Penicillin-binding protein, transpeptidase [Crocosphaera watsonii WH 8501]",638431817,71 kDa,,0.96812,6.8465,6.7718,6.7211,1.1988,1.0935,0,0,0,2.0046,7.0374,9.8619
491,ZP_00517062 CwatDRAFT_2446 Ribosomal protein L16 [Crocosphaera watsonii WH 8501],638432352,16 kDa,,22.267,12.715,14.511,16.803,16.783,15.309,13.688,10.508,10.221,15.034,14.075,18.738
492,ZP_00517963 CwatDRAFT_1978 NUDIX hydrolase [Crocosphaera watsonii WH 8501],638433247,22 kDa,,11.617,10.759,6.7718,8.9615,8.3913,13.122,10.951,6.6866,7.1545,8.0184,7.0374,6.9033
493,ZP_00517770 CwatDRAFT_2136 GTP-binding [Crocosphaera watsonii WH 8501],638433047,140 kDa,,0,0.97807,0,0,0,0,0,0,1.0221,0,0.87968,0
494,ZP_00514736 CwatDRAFT_5713 Beta-ketoacyl synthase:Acyl transferase region:Phosphopantetheine-binding [Crocosphaera watsonii WH 8501],638429998-DECOY,?,,0,0,0,1.1202,0,0,0,0,0,0,0,0
495,ZP_00515421 CwatDRAFT_4486 DNA polymerase III alpha subunit:Protein splicing (intein) site [Crocosphaera watsonii WH 8501],638430703,100 kDa,,0,0,0.96741,0,2.3975,0,0,0,1.0221,1.0023,0,0
496,ZP_00515856 CwatDRAFT_4082 Carbamoyltransferase [Crocosphaera watsonii WH 8501],638431155,70 kDa,,0,1.9561,0,0,0,0,0,0,0,0,0,0
497,ZP_00514396 CwatDRAFT_5884 conserved hypothetical protein [Crocosphaera watsonii WH 8501],638429656,8 kDa,,36.789,8.8026,9.6741,7.8413,14.385,10.935,9.1256,9.5523,12.265,10.023,6.1578,6.9033
498,ZP_00517677 CwatDRAFT_1947 Nucleotidyl transferase [Crocosphaera watsonii WH 8501],638432958,43 kDa,,7.745,14.671,16.446,14.562,16.783,15.309,12.776,18.149,14.309,16.037,16.714,17.751
499,"ZP_00516740 CwatDRAFT_3303 Photosystem II reaction centre W protein, PsbW [Crocosphaera watsonii WH 8501]",638432019,14 kDa,TRUE,0,1.9561,0.96741,0,0,0,0.91256,0,0,0,3.5187,0.98619
500,ZP_00517581 CwatDRAFT_2236 hypothetical protein [Crocosphaera watsonii WH 8501],638432860,14 kDa,,12.586,8.8026,8.7067,10.082,10.789,9.8417,5.4754,6.6866,6.1324,8.0184,8.7968,9.8619
501,ZP_00517039 CwatDRAFT_2405 Ribosomal protein S9 [Crocosphaera watsonii WH 8501],638432318,15 kDa,,1.9362,6.8465,14.511,8.9615,3.5963,5.4676,11.863,8.597,4.0883,8.0184,9.6765,8.8757
502,ZP_00517074 CwatDRAFT_2459 Heme oxygenase (decyclizing) [Crocosphaera watsonii WH 8501],638432334,29 kDa,TRUE,7.745,3.9123,2.9022,5.6009,5.9938,7.6547,13.688,21.015,30.662,12.028,4.3984,6.9033
503,"ZP_00513912 CwatDRAFT_6546 TonB, C-terminal [Crocosphaera watsonii WH 8501]",638429167,58 kDa,,2.9044,27.386,22.25,14.562,20.379,12.029,5.4754,2.8657,7.1545,9.0207,12.316,20.71
504,"ZP_00514895 CwatDRAFT_5226 Glutathione synthetase, prokaryotic [Crocosphaera watsonii WH 8501]",638430157,36 kDa,,4.8406,3.9123,8.7067,8.9615,3.5963,7.6547,9.1256,8.597,4.0883,4.0092,12.316,8.8757
505,ZP_00515785 CwatDRAFT_4179 Protein of unknown function DUF1092 [Crocosphaera watsonii WH 8501],638431066,33 kDa,,4.8406,8.8026,5.8044,3.3606,5.9938,4.3741,4.5628,8.597,5.1104,5.0115,6.1578,3.9448
506,ZP_00514276 CwatDRAFT_5946 TPR repeat:TPR repeat [Crocosphaera watsonii WH 8501],638429535,33 kDa,,13.554,17.605,15.479,16.803,19.18,13.122,13.688,13.373,12.265,11.025,15.834,13.807
507,ZP_00518320 CwatDRAFT_2221 Pentapeptide repeat [Crocosphaera watsonii WH 8501],638433599,40 kDa,,4.8406,6.8465,8.7067,6.7211,8.3913,9.8417,9.1256,9.5523,5.1104,9.0207,8.7968,11.834
508,ZP_00514308 CwatDRAFT_5303 conserved hypothetical protein [Crocosphaera watsonii WH 8501],638429567,18 kDa,,12.586,12.715,15.479,12.322,9.5901,10.935,14.601,12.418,8.1766,9.0207,14.075,21.696
509,ZP_00518760 CwatDRAFT_1082 NAD-dependent epimerase/dehydratase [Crocosphaera watsonii WH 8501],638434048,37 kDa,,4.8406,3.9123,3.8696,7.8413,2.3975,4.3741,4.5628,6.6866,4.0883,4.0092,10.556,9.8619
510,ZP_00513838 CwatDRAFT_6189 Threonine synthase [Crocosphaera watsonii WH 8501],638429093,40 kDa,,4.8406,19.561,11.609,16.803,5.9938,5.4676,10.038,16.239,7.1545,12.028,14.075,5.9171
511,ZP_00516864 CwatDRAFT_3288 Signal peptidase I [Crocosphaera watsonii WH 8501],638432150,25 kDa,,3.8725,6.8465,12.576,12.322,11.988,10.935,10.038,5.7314,6.1324,9.0207,12.316,12.82
512,ZP_00514693 CwatDRAFT_5535 Protein of unknown function DUF820 [Crocosphaera watsonii WH 8501],638429955,22 kDa,TRUE,11.617,6.8465,7.7393,4.4807,4.795,2.187,4.5628,5.7314,3.0662,3.0069,4.3984,4.9309
513,ZP_00517727 CwatDRAFT_1852 Phosphoribosyl-AMP cyclohydrolase:Phosphoribosyl-ATP pyrophosphohydrolase [Crocosphaera watsonii WH 8501],638433008,25 kDa,,11.617,5.8684,9.6741,12.322,15.584,15.309,13.688,13.373,13.287,11.025,7.9171,10.848
514,ZP_00517932 CwatDRAFT_1692 UDP-glucose 4-epimerase [Crocosphaera watsonii WH 8501],638433217,37 kDa,,2.9044,10.759,11.609,13.442,5.9938,4.3741,15.514,12.418,3.0662,7.0161,14.955,15.779
515,ZP_00514504 CwatDRAFT_5426 conserved hypothetical protein [Crocosphaera watsonii WH 8501],638429764,46 kDa,,17.426,12.715,8.7067,6.7211,14.385,12.029,16.426,9.5523,18.397,14.032,12.316,9.8619
516,ZP_00518848 CwatDRAFT_0406 hypothetical protein [Crocosphaera watsonii WH 8501],638434137,24 kDa,,22.267,24.452,19.348,10.082,14.385,6.5611,5.4754,6.6866,14.309,17.039,17.594,16.765
517,ZP_00515240 CwatDRAFT_4701 Inositol-1(or 4)-monophosphatase [Crocosphaera watsonii WH 8501],638430533,30 kDa,,4.8406,8.8026,7.7393,10.082,8.3913,10.935,10.951,13.373,4.0883,9.0207,6.1578,4.9309
518,ZP_00518822 CwatDRAFT_0566 Septum formation inhibitor MinC [Crocosphaera watsonii WH 8501],638434113,30 kDa,,3.8725,8.8026,9.6741,7.8413,5.9938,5.4676,10.951,13.373,7.1545,7.0161,14.075,12.82
519,ZP_00517972 CwatDRAFT_1324 Cytidyltransferase-related [Crocosphaera watsonii WH 8501],638433259,57 kDa,,10.649,11.737,6.7718,5.6009,0,0,0,0,0,1.0023,9.6765,5.9171
520,ZP_00514892 CwatDRAFT_5228 N-acylneuraminate-9-phosphate synthase [Crocosphaera watsonii WH 8501],638430154,85 kDa,,1.9362,5.8684,11.609,5.6009,1.1988,9.8417,5.4754,4.7761,1.0221,3.0069,8.7968,11.834
521,ZP_00515377 CwatDRAFT_4852 TPR repeat [Crocosphaera watsonii WH 8501],638430509,17 kDa,,33.884,12.715,12.576,14.562,16.783,16.403,14.601,14.328,11.243,13.03,13.195,10.848
522,ZP_00515546 CwatDRAFT_4624 Malonyl CoA-acyl carrier protein transacylase [Crocosphaera watsonii WH 8501],638430732,31 kDa,,3.8725,12.715,13.544,8.9615,7.1926,5.4676,7.3005,6.6866,8.1766,9.0207,13.195,14.793
523,ZP_00517092 CwatDRAFT_2770 UDP-N-acetylmuramoylalanine-D-glutamate ligase [Crocosphaera watsonii WH 8501],638432371,50 kDa,,7.745,7.8245,10.641,7.8413,3.5963,12.029,13.688,15.284,9.1987,8.0184,11.436,9.8619
524,ZP_00517730 CwatDRAFT_1005 hypothetical protein [Crocosphaera watsonii WH 8501],638433014,56 kDa,,1.9362,0.97807,0,0,0,3.2806,10.038,20.06,10.221,6.0138,1.7594,0
525,ZP_00518450 CwatDRAFT_0604 TPR repeat:TPR repeat [Crocosphaera watsonii WH 8501],638433735,68 kDa,,3.8725,7.8245,6.7718,4.4807,2.3975,0,0,0,0,3.0069,8.7968,10.848
526,ZP_00519263 CwatDRAFT_0320 UDP-glucose 6-dehydrogenase [Crocosphaera watsonii WH 8501],638434551,49 kDa,,10.649,10.759,17.413,10.082,4.795,5.4676,3.6502,4.7761,5.1104,6.0138,12.316,14.793
527,ZP_00516463 CwatDRAFT_3086 Glucokinase [Crocosphaera watsonii WH 8501],638431750,38 kDa,,2.9044,10.759,13.544,12.322,13.186,12.029,10.951,14.328,9.1987,9.0207,13.195,13.807
528,"ZP_00517807 CwatDRAFT_1782 Peptidase S41A, C-terminal protease [Crocosphaera watsonii WH 8501]",638433091,46 kDa,,10.649,11.737,8.7067,12.322,7.1926,3.2806,7.3005,7.6418,6.1324,9.0207,5.2781,9.8619
529,ZP_00519369 CwatDRAFT_0016 Protein of unknown function DUF820 [Crocosphaera watsonii WH 8501],638434660,28 kDa,,6.7769,2.9342,5.8044,6.7211,5.9938,9.8417,11.863,12.418,13.287,12.028,12.316,8.8757
530,ZP_00514326 CwatDRAFT_5924 Nitrogen regulatory protein P-II [Crocosphaera watsonii WH 8501],638429585,12 kDa,,24.203,3.9123,3.8696,2.2404,4.795,5.4676,2.7377,1.9105,3.0662,4.0092,2.639,1.9724
531,ZP_00519366 CwatDRAFT_0096 hypothetical protein [Crocosphaera watsonii WH 8501],638434655,13 kDa,TRUE,1.9362,8.8026,11.609,8.9615,7.1926,8.7482,9.1256,3.8209,9.1987,14.032,7.0374,4.9309
532,ZP_00513676 CwatDRAFT_6672 Transcriptional coactivator/pterin dehydratase [Crocosphaera watsonii WH 8501],638428931,15 kDa,,8.7131,5.8684,3.8696,2.2404,2.3975,0,2.7377,1.9105,3.0662,4.0092,1.7594,1.9724
533,ZP_00516502 CwatDRAFT_3265 hypothetical protein [Crocosphaera watsonii WH 8501],638431777,46 kDa,,4.8406,10.759,9.6741,6.7211,5.9938,3.2806,3.6502,4.7761,1.0221,3.0069,7.9171,12.82
534,ZP_00516791 CwatDRAFT_2484 hypothetical protein [Crocosphaera watsonii WH 8501],638432066,16 kDa,,12.586,18.583,15.479,20.163,22.776,18.59,20.076,17.194,23.508,20.046,17.594,16.765
535,ZP_00517587 CwatDRAFT_2281 Ferrochelatase [Crocosphaera watsonii WH 8501],638432875,44 kDa,,5.8087,10.759,8.7067,7.8413,7.1926,5.4676,6.3879,6.6866,5.1104,8.0184,7.9171,10.848
536,ZP_00517880 CwatDRAFT_2190 Phosphoglucomutase/phosphomannomutase C terminal:Phosphoglucomutase/phosphomannomutase alpha/beta/alpha domain III [Crocosphaera watsonii WH 8501],638433163,23 kDa,,0.96812,8.8026,12.576,10.082,5.9938,9.8417,10.951,11.463,4.0883,7.0161,14.075,15.779
537,"ZP_00518327 CwatDRAFT_1050 Fumarate hydratase, class II [Crocosphaera watsonii WH 8501]",638433612,50 kDa,,2.9044,4.8903,5.8044,6.7211,7.1926,6.5611,10.038,7.6418,8.1766,4.0092,9.6765,9.8619
538,ZP_00518943 CwatDRAFT_0624 hypothetical protein [Crocosphaera watsonii WH 8501],638434229,39 kDa,,0.96812,6.8465,6.7718,4.4807,7.1926,6.5611,6.3879,5.7314,10.221,6.0138,6.1578,7.8895
539,ZP_00517036 CwatDRAFT_2402 Ribosomal protein L17 [Crocosphaera watsonii WH 8501],638432315,13 kDa,,0.96812,2.9342,2.9022,5.6009,1.1988,4.3741,2.7377,3.8209,3.0662,2.0046,1.7594,5.9171
540,"ZP_00515236 CwatDRAFT_4697 Ribosomal protein S10, bacterial form [Crocosphaera watsonii WH 8501]",638430523,12 kDa,,39.693,10.759,14.511,8.9615,4.795,1.0935,6.3879,2.8657,3.0662,5.0115,5.2781,6.9033
541,"ZP_00516720 CwatDRAFT_2841 Peptidase M24:Peptidase M24B, X-Pro dipeptidase/aminopeptidase N-terminal [Crocosphaera watsonii WH 8501]",638432006,50 kDa,,0,1.9561,5.8044,2.2404,1.1988,1.0935,2.7377,3.8209,0,1.0023,3.5187,3.9448
542,"ZP_00517059 CwatDRAFT_2443 Ribosomal protein S19, bacterial and organelle form [Crocosphaera watsonii WH 8501]",638432349,10 kDa,,0.96812,6.8465,17.413,20.163,4.795,3.2806,19.164,16.239,5.1104,5.0115,17.594,12.82
543,ZP_00514262 CwatDRAFT_5953 unknown protein [Crocosphaera watsonii WH 8501],638429521,37 kDa,,0,2.9342,1.9348,2.2404,0,0,0,0.95523,0,0,0.87968,2.9586
544,ZP_00516471 CwatDRAFT_3096 hypothetical protein [Crocosphaera watsonii WH 8501],638431736,13 kDa,,10.649,7.8245,9.6741,12.322,10.789,10.935,10.038,9.5523,12.265,12.028,7.9171,9.8619
545,ZP_00518078 CwatDRAFT_1423 Photosynthetic reaction centre protein DI/q(b) [Crocosphaera watsonii WH 8501],638433351,39 kDa,,10.649,16.627,16.446,23.524,5.9938,2.187,1.8251,3.8209,4.0883,10.023,19.353,13.807
546,ZP_00518425 CwatDRAFT_0665 PBS lyase HEAT-like repeat [Crocosphaera watsonii WH 8501],638433710,48 kDa,,11.617,9.7807,9.6741,10.082,4.795,3.2806,6.3879,8.597,3.0662,6.0138,4.3984,5.9171
547,"ZP_00516955 CwatDRAFT_2817 Tryptophan synthase, beta chain [Crocosphaera watsonii WH 8501]",638432243,45 kDa,,8.7131,11.737,10.641,12.322,14.385,9.8417,10.038,9.5523,5.1104,9.0207,10.556,7.8895
